gen,min,max,avg,std
1,0.0,2.111532688140869,0.3388119236566126,0.6280874421573178
2,0.0,1.5309581756591797,0.17373571544885635,0.33995450039573305
3,0.0,1.0351462364196777,0.16574993692338466,0.2929773656637392
4,0.0,1.1177141666412354,0.23570505902171135,0.34453993216417206
5,0.0,3.3579752445220947,0.4054573029279709,0.7532683355931123
6,0.0,2.0205817222595215,0.2410376679385081,0.46922993667194074
7,0.0,1.8397380113601685,0.5101591676473618,0.6227656851363471
8,0.0,2.5584821701049805,0.28339901377912613,0.7107062184659036
9,0.0,2.1957249641418457,0.22985024023801087,0.5069052977782015
10,0.0,1.7782533168792725,0.29013533871620895,0.49576473424059325
11,0.0,1.2954527139663696,0.20886497125029563,0.3448007946608213
12,0.0,1.2783254384994507,0.19644434433430433,0.3343815851743714
13,0.0,2.8038570880889893,0.29248406358528883,0.6194358922066746
14,0.0,0.9314422607421875,0.14424582431092858,0.243064646239864
15,0.0,1.6531178951263428,0.2530440133064985,0.40864352545320265
16,0.0,1.2804358005523682,0.22507524788379668,0.35520683385080953
17,0.0,1.69705069065094,0.23558062119409443,0.4491212341987712
18,0.0,1.3172346353530884,0.22551834844052793,0.3871441150998304
19,0.0,1.2248351573944092,0.18554360643029214,0.31596371947165564
20,0.0,1.5704594850540161,0.24448500350117683,0.42297427261728343
21,0.0,1.2148460149765015,0.22259760657325386,0.37809998743782164
22,0.0,1.2044237852096558,0.24524988643825055,0.35486975520898445
23,0.0,2.4817309379577637,0.3260094764642417,0.5982373217813431
24,0.0,0.6110907793045044,0.13513641376048327,0.2101101736918259
25,0.0,1.79750394821167,0.2960605874657631,0.4557061696256388
26,0.0,0.9588394165039062,0.1851536737754941,0.3097542874458661
27,0.0,0.9865413904190063,0.21686163246631623,0.28179188246978926
28,0.0,1.3130695819854736,0.147966393455863,0.30847762003220125
29,0.0,0.6425250768661499,0.1044318413361907,0.16602678525206374
30,0.0,1.0983662605285645,0.14603553074412048,0.2875166181481692
31,0.0,1.443246603012085,0.17987743988633156,0.3766568282482445
32,0.0,1.0899724960327148,0.1895392308011651,0.3141561807246253
33,0.0,1.6673905849456787,0.26802651546895506,0.4418588994047833
34,0.0,1.4416669607162476,0.26551518514752387,0.41681195507298846
35,0.0,0.973662793636322,0.20197536125779153,0.2721009766798269
36,0.0,1.305206298828125,0.2560691934078932,0.3322414237561388
37,0.0,0.9339209198951721,0.11518749883398413,0.24475936553607583
38,0.0,2.0966360569000244,0.32907750457525253,0.6467375938564855
39,0.0,2.1281020641326904,0.275981517136097,0.5227248780730719
40,0.0,0.3964466154575348,0.07091019190847873,0.10720634534035264
41,0.0,1.5083364248275757,0.14854656509123743,0.3481802212503008
42,0.0,2.0714316368103027,0.23030546605587005,0.4817171732538075
43,0.0,2.5302131175994873,0.24168688552454115,0.5566493512091552
44,0.0,1.0494195222854614,0.21088537592440842,0.32191613933367214
45,0.0,0.9640806913375854,0.18649933561682702,0.26221231634776565
46,0.0,0.586373507976532,0.15551267173141242,0.22413824064674207
47,0.0,0.9382035732269287,0.16028310479596258,0.26188823295836205
48,0.0,1.1328157186508179,0.19786366261541843,0.30276856421803666
49,0.0,1.5091465711593628,0.23578796908259392,0.45699377407462577
50,0.0,1.1242241859436035,0.19531395435333251,0.3760681756557187
51,0.0,0.5269381999969482,0.12670222967863082,0.19072307445706943
52,0.0,0.5368179082870483,0.08811830226331949,0.14419884841502756
53,0.0,0.6644845604896545,0.0842424463480711,0.16025038011082277
54,0.0,0.5400611162185669,0.12748778895474971,0.19739241142921177
55,0.0,1.3615870475769043,0.1513390842359513,0.33044085505589516
56,0.0,1.1354252099990845,0.1606436274945736,0.30191314345642195
57,0.0,1.6776829957962036,0.21906045246869327,0.41076340280859863
58,0.0,1.4545621871948242,0.3327785862609744,0.4331940113440104
59,0.0,1.015065312385559,0.1731532961828634,0.27798794466598237
60,0.0,1.8500416278839111,0.3941570930182934,0.5651441212477504
61,0.0,3.474177122116089,0.318157479329966,0.7665497337043653
62,0.0,1.6267156600952148,0.2598514541983604,0.45721655112946985
63,0.0,2.0425167083740234,0.31627632938325406,0.5348714328456485
64,0.0,1.460472583770752,0.33655144376680257,0.47637824307787435
65,0.0,0.7134929895401001,0.2011020464648027,0.2347914822272167
66,0.0,1.6935349702835083,0.21218023523688317,0.40516703919304287
67,0.0,0.9626926779747009,0.24748653918504715,0.33218275408726755
68,0.0,1.5312392711639404,0.36476026456803085,0.497509478054372
69,0.0,1.280324935913086,0.26449246145784855,0.4053264604418071
70,0.0,1.2845966815948486,0.23501834608614444,0.39454641535904017
71,0.0,1.5629531145095825,0.29472445175051687,0.445752344033143
72,0.0,2.4217514991760254,0.3536889059469104,0.7072021860144064
73,0.0,1.6047271490097046,0.19309170860797167,0.3678702200754572
74,0.0,1.20551598072052,0.1596739361062646,0.30235263219024017
75,0.0,1.8157202005386353,0.27932804971933367,0.46470575525872015
76,0.0,1.1292990446090698,0.1916122820228338,0.3052375214724198
77,0.0,0.9268895983695984,0.21912649199366568,0.2741953158223685
78,0.0,1.3945468664169312,0.1998390038497746,0.32386267721438505
79,0.0,1.741485357284546,0.39314866736531257,0.5321329620296592
80,0.0,1.0591386556625366,0.2491358296945691,0.31168118247140897
81,0.0,1.5452845096588135,0.2683913193643093,0.4525408755770063
82,0.0,1.3313852548599243,0.25730178896337746,0.3990925835792639
83,0.0,1.9350389242172241,0.252751761674881,0.49596920073975354
84,0.0,2.2779486179351807,0.20422777105122805,0.5023858038545297
85,0.0,1.0488592386245728,0.13154602581635116,0.2493416494810791
86,0.0,2.337885856628418,0.31833317428827285,0.5949804375924354
87,0.0,0.6216441988945007,0.11311941160820424,0.18332749613995725
88,0.0,2.393665075302124,0.27518278639763594,0.5570012315284782
89,0.0,0.9383088946342468,0.1858542650938034,0.26704371871148
90,0.0,1.3831182718276978,0.16139641711488367,0.33040241622779354
91,0.0,1.0858347415924072,0.16978786122053863,0.27526331402567233
92,0.0,1.7682468891143799,0.3311395816504955,0.5522047229544106
93,0.0,1.527008295059204,0.2150671061128378,0.3878840781680322
94,0.0,0.8129984140396118,0.1382891083136201,0.23471768567801643
95,0.0,1.5196352005004883,0.34582018852233887,0.41139018702044206
96,0.0,0.9278652667999268,0.1584784857928753,0.25165180346262456
97,0.0,2.1351141929626465,0.21141417953185737,0.5024194517384576
98,0.0,1.2802494764328003,0.16307224677875637,0.3127237806280801
99,0.0,0.9593035578727722,0.20360350236296654,0.2789165799123234
100,0.0,0.7954477071762085,0.15927817979827524,0.23150642212317826
