gen,min,max,avg,std
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.49740034341812134,0.02487001717090607,0.10840589157210087
4,0.0,0.0,0.0,0.0
5,0.0,0.017856378108263016,0.0008928189054131508,0.0038917073835785234
6,0.0,1.7153074741363525,0.09436745122075081,0.37374949557506465
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,1.239484429359436,0.0619742214679718,0.270139368483498
10,0.0,0.3904801309108734,0.01952400654554367,0.08510317150505152
11,0.0,0.7128597497940063,0.035642987489700316,0.1553641805134882
12,0.0,0.0,0.0,0.0
13,0.0,0.018724599853157997,0.0009362299926578999,0.004080931925907612
14,0.0,0.1358930468559265,0.011751927062869072,0.03573135419353434
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.6360164880752563,0.0513138011097908,0.1587698575594366
18,0.0,1.3382333517074585,0.07053394094109536,0.2912572842723397
19,0.0,0.0,0.0,0.0
20,0.0,0.8928838968276978,0.05765754878520966,0.19981150453899574
21,0.0,0.0,0.0,0.0
22,0.0,1.0296194553375244,0.05148097276687622,0.22440035780598291
23,0.0,0.0,0.0,0.0
24,0.0,0.34023553133010864,0.025503891706466674,0.08111647636458372
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.08992880582809448,0.004496440291404724,0.01959952883589777
28,0.0,0.41948577761650085,0.020974288880825042,0.09142480564414518
29,0.0,0.2786099910736084,0.01452105985954404,0.06064066627564857
30,0.0,0.0,0.0,0.0
31,0.0,0.25941282510757446,0.012970641255378723,0.05653771446511539
32,0.0,0.12437526881694794,0.006218763440847397,0.027106961392439077
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.1221584677696228,0.00610792338848114,0.026623820805277813
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.2707012891769409,0.013535064458847047,0.05899797817042329
41,0.0,0.25506845116615295,0.012753422558307647,0.055590880115935
42,0.0,2.1013007164001465,0.10506503582000733,0.457967873638893
43,0.0,0.0,0.0,0.0
44,0.0,1.0426191091537476,0.05213095545768738,0.22723356667027944
45,0.0,6.582146644592285,0.46650670766830443,1.463021364299388
46,0.0,0.0,0.0,0.0
47,0.0,0.010140425525605679,0.0005070212762802839,0.002210054505530774
48,0.0,0.17989176511764526,0.008994588255882263,0.03920650124614855
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.4327847957611084,0.02163923978805542,0.09432325945117807
52,0.0,0.6786175966262817,0.033930879831314084,0.1479012762501205
53,0.0,0.130320742726326,0.0077791823074221614,0.028645590172497994
54,0.0,0.14698870480060577,0.007349435240030289,0.032035445503388625
55,0.0,1.2055401802062988,0.06027700901031494,0.2627413908948535
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,3.3525006771087646,0.16762503385543823,0.7306605829834394
59,0.0,0.8367411494255066,0.05343028753995895,0.18665489974549776
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.00010292558727087453,5.1462793635437265e-06,2.243211168091592e-05
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.6669250726699829,0.058175311982631685,0.1765919830388943
66,0.0,1.2159581184387207,0.06217193072661757,0.26476426723191704
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.9774525761604309,0.04887262880802155,0.21303085007934058
71,0.0,0.283375084400177,0.01416875422000885,0.06176016780088404
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.04794694110751152,0.002397347055375576,0.010449793546976942
75,0.0,0.15664337575435638,0.007832168787717819,0.03413963225441544
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,0.0,0.11086136847734451,0.005543068423867226,0.024161675096768517
80,0.0,1.2025257349014282,0.061939462274312976,0.26178743720464653
81,0.0,0.0,0.0,0.0
82,0.0,1.187756061553955,0.059387803077697754,0.2588654320945783
83,0.0,0.2310824990272522,0.01155412495136261,0.050363263044031416
84,0.0,0.1382625550031662,0.008063547592610121,0.0302865518390593
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.7801397442817688,0.03900698721408844,0.17002751535819463
90,0.0,0.21667449176311493,0.01314318086951971,0.0477631691995195
91,0.0,0.2271353006362915,0.011356765031814575,0.049502991099216215
92,0.0,0.1297985315322876,0.0064899265766143795,0.028288934098460963
93,0.0,0.2942812740802765,0.014714063704013824,0.06413711673461603
94,0.0,1.827492356300354,0.0913746178150177,0.39829272506031344
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.698820948600769,0.03494104743003845,0.15230449472899918
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
