gen,min,max,avg,std
1,0.0,0.07692009210586548,0.003846004605293274,0.016764345410865418
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.3897291421890259,0.019486457109451294,0.0849394973077379
5,0.0,0.0,0.0,0.0
6,0.0,0.11888451129198074,0.005944225564599037,0.025910278533698206
7,0.0,0.04878947138786316,0.002439473569393158,0.010633418764423232
8,0.0,0.0,0.0,0.0
9,0.0,0.056235287338495255,0.0028117643669247627,0.012256196728473659
10,0.0,0.0,0.0,0.0
11,0.0,0.49572640657424927,0.04413295537233353,0.13351165308345125
12,0.0,1.2483365535736084,0.06241682767868042,0.27206864422776034
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.587044358253479,0.02935221791267395,0.12794335165013013
16,0.0,0.4315621554851532,0.02157810777425766,0.0940567911808185
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.2597982585430145,0.012989912927150727,0.056621717734842626
20,0.0,0.42993298172950745,0.02843131646513939,0.09693075320069726
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.043226342648267746,0.0021613171324133874,0.00942096296513307
25,0.0,0.2397119551897049,0.011985597759485244,0.0522440094115237
26,0.0,0.1408022791147232,0.00704011395573616,0.030687145284064306
27,0.0,0.4425079822540283,0.026659277081489564,0.09742212095892899
28,0.0,0.7924879193305969,0.03962439596652985,0.17271873771694424
29,0.0,0.0,0.0,0.0
30,0.0,0.2887098491191864,0.01443549245595932,0.06292285281577044
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.2539556622505188,0.01269778311252594,0.05534835339449792
40,0.0,0.0,0.0,0.0
41,0.0,1.9310897588729858,0.168295818567276,0.5109484031552963
42,0.0,0.0,0.0,0.0
43,0.0,0.8299809694290161,0.050946807861328124,0.18339314708908208
44,0.0,1.5978387594223022,0.08070854945108294,0.3480716911604511
45,0.0,0.4524911642074585,0.022624558210372923,0.09861816288126901
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,1.177940011024475,0.05889700055122375,0.25672607348044374
53,0.0,2.1357905864715576,0.1449563592672348,0.48600603240080764
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.24058076739311218,0.012029038369655609,0.05243336264130206
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.8289200663566589,0.04144600331783295,0.18065894007608527
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.04211381822824478,0.002105690911412239,0.009178493889178007
100,0.0,0.0,0.0,0.0
